Product_id,Product_Name,Category,Price,Image_link,Product_link
1,Rush US-EX-3204,sport-shoes,"Rs.13,499",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3204Black_700x700.jpg?v=1704719664,https://www.urbansole.com.pk/collections/sport-shoes/products/us-ex-3204
2,Raptor US-EX-3206,sport-shoes,"Rs.16,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3206Black_700x700.jpg?v=1704719244,https://www.urbansole.com.pk/collections/sport-shoes/products/us-ex-3206
3,MEN'S SPORTS SHOES US-EX-3203,sport-shoes,"Rs.13,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3203Grey_700x700.jpg?v=1704716519,https://www.urbansole.com.pk/collections/sport-shoes/products/us-ex-3203
4,Pulse US-EX-3210,sport-shoes,"Current price

Rs.9,799",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3210Grey_700x700.jpg?v=1704718588,https://www.urbansole.com.pk/collections/sport-shoes/products/us-ex-3210
5,Fury US-EX-3208,sport-shoes,"Rs.13,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3208Black_700x700.jpg?v=1704718863,https://www.urbansole.com.pk/collections/sport-shoes/products/us-ex-3208
6,Blaze US-EX-3207,sport-shoes,"Rs.14,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3207Black_702x700.jpg?v=1704718985,https://www.urbansole.com.pk/collections/sport-shoes/products/us-ex-3207
7,Dune US-EX-3209,sport-shoes,"Rs.13,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3209Grey_700x700.jpg?v=1704718748,https://www.urbansole.com.pk/collections/sport-shoes/products/us-ex-3209
8,SNEAKER EX-NK-3202,sport-shoes,"Current price

Rs.15,599",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3202Black_700x700.jpg?v=1704718392,https://www.urbansole.com.pk/collections/sport-shoes/products/ex-nk-3202
9,Volcano EX-PG-3203,sport-shoes,"Current price

Rs.13,199",https://www.urbansole.com.pk/cdn/shop/files/EX-PG-3203Black_700x700.jpg?v=1704719808,https://www.urbansole.com.pk/collections/sport-shoes/products/ex-pg-3203
10,SNEAKER EX-NK-3203,sport-shoes,"Current price

Rs.15,599",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3203Black_700x700.jpg?v=1704718341,https://www.urbansole.com.pk/collections/sport-shoes/products/ex-nk-3203
11,SNEAKER EX-NK-3205,sport-shoes,"Current price

Rs.15,999",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3205Grey_703x700.jpg?v=1704717074,https://www.urbansole.com.pk/collections/sport-shoes/products/ex-nk-3205
12,Pulse EX-NK-3206,sport-shoes,"Current price

Rs.14,399",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3206Black_700x700.jpg?v=1704716914,https://www.urbansole.com.pk/collections/sport-shoes/products/ex-nk-3206
13,MEN'S SPORTS SHOES US-EX-3202,sport-shoes,"Rs.14,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3202Black_700x700.jpg?v=1704716642,https://www.urbansole.com.pk/collections/sport-shoes/products/us-ex-3202
14,MEN'S SPORTS SHOES US-EX-3201,sport-shoes,"Rs.15,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3201Black_700x700.jpg?v=1704716742,https://www.urbansole.com.pk/collections/sport-shoes/products/us-ex-3201
15,Raptor EX-NK-3201,sport-shoes,"Current price

Rs.15,199",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3201Grey_700x700.jpg?v=1704718445,https://www.urbansole.com.pk/collections/sport-shoes/products/ex-nk-3201
16,SNEAKER EX-NK-3204,sport-shoes,"Current price

Rs.14,799",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3204Grey_700x700.jpg?v=1704717138,https://www.urbansole.com.pk/collections/sport-shoes/products/ex-nk-3204
17,Rush EX-NK-3207,sport-shoes,"Current price

Rs.15,999",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3207Lt-Grey_700x700.jpg?v=1704717209,https://www.urbansole.com.pk/collections/sport-shoes/products/ex-nk-3207
18,Dune EX-NK-3208,sport-shoes,"Current price

Rs.15,999",https://www.urbansole.com.pk/cdn/shop/files/EX-NK-3208D-Grey_700x700.jpg?v=1704716810,https://www.urbansole.com.pk/collections/sport-shoes/products/ex-nk-3208
19,MEN'S SPORTS SHOES US-EX-3211,sport-shoes,"Rs.13,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3211Black_700x700.webp?v=1704738983,https://www.urbansole.com.pk/collections/sport-shoes/products/us-ex-3211
20,MEN'S SPORTS SHOES US-EX-3212,sport-shoes,"Rs.13,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3212Grey_700x700.webp?v=1704739041,https://www.urbansole.com.pk/collections/sport-shoes/products/us-ex-3212
21,MEN'S SPORTS SHOES US-EX-3214,sport-shoes,"Rs.12,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3214Black_700x700.webp?v=1704739174,https://www.urbansole.com.pk/collections/sport-shoes/products/us-ex-3214
22,MEN'S SPORTS SHOES US-EX-3253,urbansole-footwear,"Rs.13,499",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3253Grey_700x700.webp?v=1704739341,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3253
23,MEN'S SPORTS SHOES US-EX-3251,urbansole-footwear,"Rs.13,499",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3251Grey_700x700.webp?v=1704739288,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3251
24,MEN'S SPORTS SHOES US-EX-3214,urbansole-footwear,"Rs.12,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3214Black_700x700.webp?v=1704739174,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3214
25,MEN'S SPORTS SHOES US-EX-3213,urbansole-footwear,"Rs.11,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3213Grey_700x700.webp?v=1704739107,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3213
26,MEN'S SPORTS SHOES US-EX-3212,urbansole-footwear,"Rs.13,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3212Grey_700x700.webp?v=1704739041,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3212
27,MEN'S SPORTS SHOES US-EX-3211,urbansole-footwear,"Rs.13,999",https://www.urbansole.com.pk/cdn/shop/files/US-EX-3211Black_700x700.webp?v=1704738983,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ex-3211
28,FORMAL SHOE PC-RM-3303,urbansole-footwear,"Rs.11,999",https://www.urbansole.com.pk/cdn/shop/files/PC-RM-3303Brown_1_700x700.webp?v=1705382026,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-rm-3303
29,FORMAL SHOE PC-RM-3302,urbansole-footwear,"Rs.11,999",https://www.urbansole.com.pk/cdn/shop/files/PC-RM-3302Brown_1_700x700.webp?v=1705402972,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-rm-3302
